"","host_species","preds"
"1","Tachyglossus_aculeatus",NA
"2","Zaglossus_bruijni",NA
"3","Zaglossus_bartoni",NA
"4","Ornithorhynchus_anatinus",NA
"5","Anomalurus_beecrofti",NA
"6","Anomalurus_derbianus",NA
"7","Anomalurus_pelii",NA
"8","Anomalurus_pusillus",NA
"9","Zenkerella_insignis",NA
"10","Idiurus_macrotis",NA
"11","Idiurus_zenkeri",NA
"12","Pedetes_capensis",NA
"13","Pedetes_surdaster",NA
"14","Allactaga_elater",NA
"15","Allactaga_balikunica",NA
"16","Allactaga_bullata",NA
"17","Allactaga_euphratica",NA
"18","Allactaga_williamsi",NA
"19","Allactaga_firouzi",NA
"20","Allactaga_hotsoni",NA
"21","Allactaga_major",NA
"22","Allactaga_severtzovi",NA
"23","Allactaga_sibirica",NA
"24","Allactaga_tetradactyla",NA
"25","Allactaga_vinogradovi",NA
"26","Allactodipus_bobrinskii",NA
"27","Paradipus_ctenodactylus",NA
"28","Euchoreutes_naso",NA
"29","Sicista_betulina",NA
"30","Sicista_tianshanica",NA
"31","Sicista_kazbegica",NA
"32","Sicista_armenica",NA
"33","Sicista_caucasica",NA
"34","Sicista_caudata",NA
"35","Sicista_concolor",NA
"36","Sicista_kluchorica",NA
"37","Sicista_napaea",NA
"38","Sicista_pseudonapaea",NA
"39","Sicista_severtzovi",NA
"40","Sicista_strandi",NA
"41","Sicista_subtilis",NA
"42","Dipus_sagitta",NA
"43","Eremodipus_lichtensteini",NA
"44","Jaculus_jaculus",NA
"45","Jaculus_blanfordi",NA
"46","Jaculus_orientalis",NA
"47","Stylodipus_andrewsi",NA
"48","Stylodipus_sungorus",NA
"49","Stylodipus_telum",NA
"50","Napaeozapus_insignis",NA
"51","Eozapus_setchuanus",NA
"52","Zapus_hudsonius",NA
"53","Zapus_princeps",NA
"54","Zapus_trinotatus",NA
"55","Cardiocranius_paradoxus",NA
"56","Salpingotus_crassicauda",NA
"57","Salpingotus_heptneri",NA
"58","Salpingotus_kozlovi",NA
"59","Salpingotulus_michaelis",NA
"60","Salpingotus_pallidus",NA
"61","Salpingotus_thomasi",NA
"62","Pygeretmus_pumilio",NA
"63","Pygeretmus_platyurus",NA
"64","Pygeretmus_shitkovi",NA
"65","Abditomys_latidens",NA
"66","Bullimus_bagobus",NA
"67","Bullimus_luzonicus",NA
"68","Limnomys_sibuanus",NA
"69","Tarsomys_apoensis",NA
"70","Tarsomys_echinatus",NA
"71","Tryphomys_adustus",NA
"72","Acomys_cahirinus",NA
"73","Acomys_airensis",NA
"74","Acomys_seurati",NA
"75","Acomys_chudeaui",NA
"76","Acomys_dimidiatus",NA
"77","Acomys_cilicicus",NA
"78","Acomys_cineraceus",NA
"79","Acomys_johannis",NA
"80","Acomys_ignitus",NA
"81","Acomys_kempi",NA
"82","Acomys_minous",NA
"83","Acomys_mullah",NA
"84","Acomys_nesiotes",NA
"85","Acomys_percivali",NA
"86","Acomys_russatus",NA
"87","Acomys_spinosissimus",NA
"88","Acomys_subspinosus",NA
"89","Acomys_wilsoni",NA
"90","Acomys_louisae",NA
"91","Lophuromys_aquilus",NA
"92","Lophuromys_flavopunctatus",NA
"93","Lophuromys_zena",NA
"94","Lophuromys_brevicaudus",NA
"95","Lophuromys_brunneus",NA
"96","Lophuromys_chrysopus",NA
"97","Lophuromys_luteogaster",NA
"98","Lophuromys_medicaudatus",NA
"99","Lophuromys_melanonyx",NA
"100","Lophuromys_nudicaudus",NA
"101","Lophuromys_rahmi",NA
"102","Lophuromys_sikapusi",NA
"103","Lophuromys_ansorgei",NA
"104","Lophuromys_eisentrauti",NA
"105","Lophuromys_woosnami",NA
"106","Uranomys_ruddi",NA
"107","Aethomys_bocagei",NA
"108","Aethomys_chrysophilus",NA
"109","Aethomys_ineptus",NA
"110","Micaelamys_granti",NA
"111","Aethomys_hindei",NA
"112","Aethomys_kaiseri",NA
"113","Micaelamys_namaquensis",NA
"114","Aethomys_nyikae",NA
"115","Aethomys_silindensis",NA
"116","Aethomys_stannarius",NA
"117","Aethomys_thomasi",NA
"118","Anisomys_imitator",NA
"119","Chiruromys_forbesi",NA
"120","Chiruromys_lamia",NA
"121","Chiruromys_vates",NA
"122","Coccymys_albidens",NA
"123","Coccymys_ruemmleri",NA
"124","Crossomys_moncktoni",NA
"125","Hyomys_dammermani",NA
