"","clean_hostnames","Prediction","Prediction_Cites"
"Paranyctimene_raptor","Paranyctimene_raptor",0.121212121212115,0.104920427587588
"Nyctimene_aello","Nyctimene_aello",0.121212121212115,0.104920427587588
"Nyctimene_certans","Nyctimene_certans",0.121212121212115,0.104920427587588
"Nyctimene_cyclotis","Nyctimene_cyclotis",0.121212121212115,0.104920427587588
"Nyctimene_major","Nyctimene_major",0.121212121212115,0.104920427587588
"Nyctimene_robinsoni","Nyctimene_robinsoni",0.121212121212115,0.104920427587588
"Nyctimene_albiventer","Nyctimene_albiventer",0.121212121212115,0.104920427587588
"Nyctimene_draconilla","Nyctimene_draconilla",0.121212121212115,0.104920427587588
"Nyctimene_minutus","Nyctimene_minutus",0.0471124626817564,0.104920427587588
"Nyctimene_cephalotes","Nyctimene_cephalotes",0.0471124626817564,0.104920427587588
"Nyctimene_rabori","Nyctimene_rabori",0.0471124626817564,0.104920427587588
"Nyctimene_malaitensis","Nyctimene_malaitensis",0.0471124626817564,0.104920427587588
"Nyctimene_masalai","Nyctimene_masalai",0.0471124626817564,0.104920427587588
"Nyctimene_vizcaccia","Nyctimene_vizcaccia",0.0471124626817564,0.104920427587588
"Sphaerias_blanfordi","Sphaerias_blanfordi",0.121212121212115,0.104920427587588
"Alionycteris_paucidentata","Alionycteris_paucidentata",0.0471124626817564,0.104920427587588
"Otopteropus_cartilagonodus","Otopteropus_cartilagonodus",0.121212121212115,0.104920427587588
"Haplonycteris_fischeri","Haplonycteris_fischeri",0.0471124626817564,0.104920427587588
"Latidens_salimalii","Latidens_salimalii",0.0471124626817564,0.104920427587588
"Penthetor_lucasi","Penthetor_lucasi",0.0471124626817564,0.104920427587588
"Thoopterus_nigrescens","Thoopterus_nigrescens",0.0471124626817564,0.104920427587588
"Aethalops_alecto","Aethalops_alecto",0.0471124626817564,0.104920427587588
"Aethalops_aequalis","Aethalops_aequalis",0.0471124626817564,0.104920427587588
"Balionycteris_maculata","Balionycteris_maculata",0.0471124626817564,0.104920427587588
"Chironax_melanocephalus","Chironax_melanocephalus",0.0471124626817564,0.104920427587588
"Dyacopterus_spadiceus","Dyacopterus_spadiceus",0.0471124626817564,0.104920427587588
"Dyacopterus_brooksi","Dyacopterus_brooksi",0.0471124626817564,0.104920427587588
"Ptenochirus_jagori","Ptenochirus_jagori",0.0471124626817564,0.104920427587588
"Ptenochirus_minor","Ptenochirus_minor",0.0471124626817564,0.104920427587588
"Megaerops_ecaudatus","Megaerops_ecaudatus",0.0471124626817564,0.104920427587588
"Megaerops_kusnotoi","Megaerops_kusnotoi",0.0471124626817564,0.104920427587588
"Megaerops_niphanae","Megaerops_niphanae",0.0471124626817564,0.104920427587588
"Megaerops_wetmorei","Megaerops_wetmorei",0.0471124626817564,0.104920427587588
"Cynopterus_sphinx","Cynopterus_sphinx",0.0471124626817564,0.104920427587588
"Cynopterus_brachyotis","Cynopterus_brachyotis",0.0471124626817564,0.104920427587588
"Cynopterus_luzoniensis","Cynopterus_luzoniensis",0.0471124626817564,0.104920427587588
"Cynopterus_minutus","Cynopterus_minutus",0.0471124626817564,0.104920427587588
"Cynopterus_nusatenggara","Cynopterus_nusatenggara",0.0471124626817564,0.104920427587588
"Cynopterus_horsfieldii","Cynopterus_horsfieldii",0.0471124626817564,0.104920427587588
"Cynopterus_titthaecheilus","Cynopterus_titthaecheilus",0.121212121212115,0.104920427587588
"Rousettus_bidens","Rousettus_bidens",0.121212121212115,0.104920427587588
"Lissonycteris_angolensis","Lissonycteris_angolensis",0.121212121212115,0.104920427587588
"Megaloglossus_woermanni","Megaloglossus_woermanni",0.121212121212115,0.104920427587588
"Eidolon_helvum","Eidolon_helvum",0.121212121212115,0.104920427587588
"Eidolon_dupreanum","Eidolon_dupreanum",0.121212121212115,0.104920427587588
"Myonycteris_relicta","Myonycteris_relicta",0.121212121212115,0.104920427587588
"Myonycteris_brachycephala","Myonycteris_brachycephala",0.121212121212115,0.104920427587588
"Myonycteris_torquata","Myonycteris_torquata",0.0471124626817564,0.104920427587588
"Rousettus_lanosus","Rousettus_lanosus",0.0471124626817564,0.104920427587588
"Rousettus_aegyptiacus","Rousettus_aegyptiacus",0.0471124626817564,0.104920427587588
"Rousettus_amplexicaudatus","Rousettus_amplexicaudatus",0.0471124626817564,0.104920427587588
"Rousettus_celebensis","Rousettus_celebensis",0.0471124626817564,0.104920427587588
"Rousettus_leschenaultii","Rousettus_leschenaultii",0.121212121212115,0.104920427587588
"Rousettus_madagascariensis","Rousettus_madagascariensis",0.0471124626817564,0.104920427587588
"Rousettus_obliviosus","Rousettus_obliviosus",0.0471124626817564,0.104920427587588
"Rousettus_spinalatus","Rousettus_spinalatus",0.0471124626817564,0.104920427587588
"Plerotes_anchietae","Plerotes_anchietae",0.0471124626817564,0.104920427587588
"Casinycteris_argynnis","Casinycteris_argynnis",0.121212121212115,0.695476785400539
"Scotonycteris_ophiodon","Scotonycteris_ophiodon",0.121212121212115,0.104920427587588
"Scotonycteris_zenkeri","Scotonycteris_zenkeri",0.121212121212115,0.104920427587588
"Nanonycteris_veldkampii","Nanonycteris_veldkampii",0.0471124626817564,0.104920427587588
"Hypsignathus_monstrosus","Hypsignathus_monstrosus",0.0471124626817564,0.104920427587588
"Epomops_buettikoferi","Epomops_buettikoferi",0.0471124626817564,0.104920427587588
"Epomops_dobsonii","Epomops_dobsonii",0.0471124626817564,0.104920427587588
"Epomops_franqueti","Epomops_franqueti",0.0471124626817564,0.104920427587588
"Micropteropus_intermedius","Micropteropus_intermedius",0.0471124626817564,0.104920427587588
"Micropteropus_pusillus","Micropteropus_pusillus",0.0471124626817564,0.104920427587588
"Epomophorus_wahlbergi","Epomophorus_wahlbergi",0.0471124626817564,0.104920427587588
"Epomophorus_angolensis","Epomophorus_angolensis",0.0471124626817564,0.104920427587588
"Epomophorus_gambianus","Epomophorus_gambianus",0.0471124626817564,0.104920427587588
"Epomophorus_crypturus","Epomophorus_crypturus",0.0471124626817564,0.104920427587588
"Epomophorus_grandis","Epomophorus_grandis",0.0471124626817564,0.104920427587588
"Epomophorus_labiatus","Epomophorus_labiatus",0.0471124626817564,0.104920427587588
"Epomophorus_minor","Epomophorus_minor",0.0471124626817564,0.104920427587588
"Epomophorus_minimus","Epomophorus_minimus",0.0471124626817564,0.104920427587588
"Eonycteris_major","Eonycteris_major",0.0471124626817564,0.104920427587588
"Eonycteris_robusta","Eonycteris_robusta",0.0471124626817564,0.104920427587588
"Eonycteris_spelaea","Eonycteris_spelaea",0.0471124626817564,0.104920427587588
"Macroglossus_minimus","Macroglossus_minimus",0.0471124626817564,0.104920427587588
"Macroglossus_sobrinus","Macroglossus_sobrinus",0.0471124626817564,0.104920427587588
"Syconycteris_australis","Syconycteris_australis",0.0471124626817564,0.104920427587588
"Syconycteris_carolinae","Syconycteris_carolinae",0.0471124626817564,0.104920427587588
"Syconycteris_hobbit","Syconycteris_hobbit",0.0471124626817564,0.104920427587588
"Notopteris_macdonaldi","Notopteris_macdonaldi",0.0471124626817564,0.104920427587588
"Notopteris_neocaledonica","Notopteris_neocaledonica",0.0471124626817564,0.104920427587588
